drugs,from_user,text,time,geo_coordinates,iso_language_code,from_user_id_str,id_str,to_user,to_user_id_str,created_at,in_reply_to_status_id_str,source,profile_image_url,status_url,entities_str,compt
citalopram,alntylr,Sine switching from #Citalopram to #Zoloft my bullshit filter us running at max capacity. #clarity #sanity.,19/09/2012 09:24:08,"loc: 51.786215,-1.502162",en,578044651,248351759406342144 ,,0,"Wed, 19 Sep 2012 09:24:08 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2220222628/user_icon_300x300_72_normal.png,http://twitter.com/alntylr/statuses/248351759406342144,"{""urls"":[],""hashtags"":[{""text"":""Citalopram"",""indices"":[20,31]},{""text"":""Zoloft"",""indices"":[35,42]},{""text"":""clarity"",""indices"":[90,98]},{""text"":""sanity"",""indices"":[99,106]}],""user_mentions"":[]}",
hydrocodone,Byron_Riggs,@Brennan_Beckett @W_Raymo11 Already On them Hydrocodone,19/09/2012 03:23:18,"loc: 29.828289,-94.662016",en,344602108,248260955396513792 ,Brennan_Beckett,518210094,"Wed, 19 Sep 2012 03:23:18 +0000",248260637103386624,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2621835984/IeA4ijYm_normal,http://twitter.com/Byron_Riggs/statuses/248260955396513792,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":518210094,""name"":""THE SLANKY LANKY"",""indices"":[0,16],""screen_name"":""Brennan_Beckett"",""id_str"":""518210094""},{""id"":424490688,""name"":""The Struggle"",""indices"":[17,27],""screen_name"":""W_Raymo11"",""id_str"":""424490688""}]}",
zolpidem,Mr_Salander,"Zolpidem, querido amigo, si te tomo y no me provocas alucinaciones como ver un perchero ciempies o un armario acercándose, te amaré.",19/09/2012 02:12:36,"loc: 40.329513,-3.868951",es,75107647,248243159618965504 ,,0,"Wed, 19 Sep 2012 02:12:36 +0000",,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2624046667/image_normal.jpg,http://twitter.com/Mr_Salander/statuses/248243159618965504,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
warfarin,Panatkung,ประชุม warfarin clinic เมืองทองธานี รีสอร์ต จะรู้เรื่องไหมนี่ตรู,19/09/2012 01:29:28,"loc: 15.089179,102.243415",th,830320674,248232307176140802 ,,0,"Wed, 19 Sep 2012 01:29:28 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2625128748/image_normal.jpg,http://twitter.com/Panatkung/statuses/248232307176140802,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
amoxicillin,KayluhLovesYouu,Mamas making breakfast than I have to take 875mg of amoxicillin after that I'll pass TF out.,18/09/2012 17:01:28,"loc: 35.083151,-106.705285",en,215316756,248104465553571841 ,,0,"Tue, 18 Sep 2012 17:01:28 +0000",,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2586391498/Photo_on_2012-09-07_at_11.39_normal.jpg,http://twitter.com/KayluhLovesYouu/statuses/248104465553571841,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
amoxicillin,_ErinFitzgerald,when my doctor tells me I'm too old to take liquid amoxicillin 😨,18/09/2012 15:45:42,"loc: 42.538273,-71.294739",en,341130730,248085397131890690 ,,0,"Tue, 18 Sep 2012 15:45:42 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2560119632/image_normal.jpg,http://twitter.com/_ErinFitzgerald/statuses/248085397131890690,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
omeprazole,PrisilaRPL,"Kiri ats jg kak tp gk trl.obtny braxidin,neurosanbeplus,plantacid,omeprazole. Itu krmn dktr umum kak RT @ChachaHelena",18/09/2012 01:01:59,"loc: -7.765386,110.410962",pl,35680006,247863001116442629 ,,0,"Tue, 18 Sep 2012 01:01:59 +0000",,&lt;a href=&quot;http://www.tweetcaster.com&quot;&gt;TweetCaster for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2621440586/profile_normal.jpg,http://twitter.com/PrisilaRPL/statuses/247863001116442629,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":146067994,""name"":""Theresia Helena"",""indices"":[104,117],""screen_name"":""ChachaHelena"",""id_str"":""146067994""}]}",
omeprazole,_orphanannie_,"Dear Omeprazole, 

I promise to never, EVER leave you again. I swear, the one week without you was pure and utter hell. 

Love,
My stomach ❤",18/09/2012 00:44:58,"loc: 42.239635,-71.019544",en,74914060,247858718643986432 ,,0,"Tue, 18 Sep 2012 00:44:58 +0000",,&lt;a href=&quot;http://twitter.com/download/iphone&quot;&gt;Twitter for iPhone&lt;/a&gt;,http://a0.twimg.com/profile_images/2530112987/image_normal.jpg,http://twitter.com/_orphanannie_/statuses/247858718643986432,"{""urls"":[],""hashtags"":[],""user_mentions"":[]}",
citalopram,timothyjwatts98,@danielw2k1 citalopram and propanalol solves everything,17/09/2012 20:09:10,"loc: 52.460798,-1.90278",en,632235691,247789311829872640 ,danielw2k1,20262025,"Mon, 17 Sep 2012 20:09:10 +0000",247788731766026241,&lt;a href=&quot;http://twitter.com/download/android&quot;&gt;Twitter for Android&lt;/a&gt;,http://a0.twimg.com/profile_images/2520372637/4M37ci3c_normal,http://twitter.com/timothyjwatts98/statuses/247789311829872640,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":20262025,""name"":""Dan"",""indices"":[0,11],""screen_name"":""danielw2k1"",""id_str"":""20262025""}]}",
amoxicillin,fiftythreeDegs,"@PaulaBinns I think medics have shares in amoxicillin- pronounced mff gfff mmmfff nnn
(gob full of dark chocolate hobnob)",18/09/2012 10:14:16,"loc: 53.727152,-2.531925",en,754030081,248001989118685184 ,PaulaBinns,323458733,"Tue, 18 Sep 2012 10:14:16 +0000",247995071050428417,&lt;a href=&quot;http://twitter.com/#!/download/ipad&quot;&gt;Twitter for iPad&lt;/a&gt;,http://a0.twimg.com/profile_images/2497169065/image_normal.jpg,http://twitter.com/fiftythreeDegs/statuses/248001989118685184,"{""urls"":[],""hashtags"":[],""user_mentions"":[{""id"":323458733,""name"":""justme"",""indices"":[0,11],""screen_name"":""PaulaBinns"",""id_str"":""323458733""}]}",
